127.0.0.1, 2013-02-07 15:25:55, GET, /APP_1/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000632
127.0.0.1, 2013-02-07 15:25:55, GET, /APP_1/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000607
127.0.0.1, 2013-02-07 15:25:55, GET, /APP_1/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000575
127.0.0.1, 2013-02-07 15:25:55, GET, /APP_1/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001668
127.0.0.1, 2013-02-07 15:25:55, GET, /APP_1/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.009041
127.0.0.1, 2013-02-07 15:25:55, GET, /APP_1/static/js/share.js, HTTP/1.1, 304, 0.000577
127.0.0.1, 2013-02-07 15:25:55, GET, /APP_1/static/js/web2py.js, HTTP/1.1, 304, 0.014486
127.0.0.1, 2013-02-07 15:25:55, GET, /APP_1/static/images/twitter.png, HTTP/1.1, 304, 0.000711
127.0.0.1, 2013-02-07 15:25:55, GET, /APP_1/static/images/facebook.png, HTTP/1.1, 304, 0.000591
127.0.0.1, 2013-02-07 15:25:55, GET, /APP_1/static/images/gplus-32.png, HTTP/1.1, 304, 0.000543
127.0.0.1, 2013-02-07 15:26:05, GET, /admin/default/design/APP_1, HTTP/1.1, 200, 0.164916
127.0.0.1, 2013-02-07 15:26:10, GET, /admin/default/errors/APP_1, HTTP/1.1, 200, 0.145341
127.0.0.1, 2013-02-07 15:28:11, GET, /admin/default/errors/APP_1, HTTP/1.1, 200, 0.124031
127.0.0.1, 2013-02-07 15:28:11, GET, /admin/static/js/jquery.js, HTTP/1.1, 304, 0.000643
127.0.0.1, 2013-02-07 15:28:11, GET, /admin/static/css/calendar.css, HTTP/1.1, 304, 0.000551
127.0.0.1, 2013-02-07 15:28:11, GET, /admin/static/js/calendar.js, HTTP/1.1, 304, 0.000599
127.0.0.1, 2013-02-07 15:28:11, GET, /admin/static/js/web2py.js, HTTP/1.1, 304, 0.000611
127.0.0.1, 2013-02-07 15:28:11, GET, /admin/static/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.000623
127.0.0.1, 2013-02-07 15:28:11, GET, /admin/static/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.000634
127.0.0.1, 2013-02-07 15:28:11, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000600
127.0.0.1, 2013-02-07 15:28:11, GET, /admin/static/css/styles.css, HTTP/1.1, 304, 0.000570
127.0.0.1, 2013-02-07 15:28:11, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 304, 0.000894
127.0.0.1, 2013-02-07 15:28:11, GET, /admin/static/images/header_bg.png, HTTP/1.1, 304, 0.000630
127.0.0.1, 2013-02-07 15:28:11, GET, /admin/static/images/start.png, HTTP/1.1, 304, 0.000566
127.0.0.1, 2013-02-07 15:28:11, GET, /admin/static/images/menu.png, HTTP/1.1, 304, 0.000596
127.0.0.1, 2013-02-07 15:28:11, GET, /admin/static/images/section_bullet.png, HTTP/1.1, 304, 0.000593
127.0.0.1, 2013-02-07 15:28:11, GET, /admin/static/images/sidebar_bullet.gif, HTTP/1.1, 304, 0.000555
127.0.0.1, 2013-02-07 15:28:11, GET, /admin/static/images/small_button.png, HTTP/1.1, 304, 0.000531
127.0.0.1, 2013-02-07 15:28:17, GET, /admin/default/index, HTTP/1.1, 303, 0.011443
127.0.0.1, 2013-02-07 15:28:17, GET, /admin/default/site, HTTP/1.1, 200, 0.075761
127.0.0.1, 2013-02-07 15:28:18, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.046603
127.0.0.1, 2013-02-07 15:28:39, GET, /admin/default/design/APP_1, HTTP/1.1, 200, 0.170515
127.0.0.1, 2013-02-07 15:28:57, GET, /admin/default/peek/APP_1/controllers/default.py, HTTP/1.1, 200, 0.059231
127.0.0.1, 2013-02-07 15:29:40, GET, /admin/default/design/APP_1, HTTP/1.1, 200, 0.168615
127.0.0.1, 2013-02-07 15:29:45, GET, /admin/default/edit/APP_1/controllers/default.py, HTTP/1.1, 200, 0.068612
127.0.0.1, 2013-02-07 15:29:59, POST, /admin/default/edit/APP_1/controllers/default.py, HTTP/1.1, 200, 0.046120
127.0.0.1, 2013-02-07 15:30:01, GET, /admin/default/design/APP_1, HTTP/1.1, 200, 0.174004
127.0.0.1, 2013-02-07 15:30:07, GET, /admin/default/errors/APP_1, HTTP/1.1, 200, 0.119647
127.0.0.1, 2013-02-07 15:31:00, GET, /admin/default/design/APP_1, HTTP/1.1, 200, 0.172705
127.0.0.1, 2013-02-07 15:31:07, GET, /admin/default/edit/APP_1/controllers/default.py, HTTP/1.1, 200, 0.118576
127.0.0.1, 2013-02-07 15:31:13, GET, /admin/default/design/APP_1, HTTP/1.1, 200, 0.178623
127.0.0.1, 2013-02-07 15:31:16, GET, /admin/default/peek/APP_1/models/db.py, HTTP/1.1, 200, 0.066885
127.0.0.1, 2013-02-07 15:31:19, GET, /admin/default/design/APP_1, HTTP/1.1, 200, 0.169833
127.0.0.1, 2013-02-07 15:31:20, GET, /admin/default/edit/APP_1/models/db.py, HTTP/1.1, 200, 0.072449
127.0.0.1, 2013-02-07 15:32:00, POST, /admin/default/edit/APP_1/models/db.py, HTTP/1.1, 200, 0.045750
127.0.0.1, 2013-02-07 15:32:03, GET, /admin/default/design/APP_1, HTTP/1.1, 200, 0.170707
127.0.0.1, 2013-02-07 15:32:06, GET, /admin/default/errors/APP_1, HTTP/1.1, 200, 0.124518
127.0.0.1, 2013-02-07 15:32:33, GET, /admin/default/design/APP_1, HTTP/1.1, 200, 0.169720
127.0.0.1, 2013-02-07 15:32:36, GET, /admin/default/edit/APP_1/models/db.py, HTTP/1.1, 200, 0.069972
127.0.0.1, 2013-02-07 15:32:44, GET, /admin/default/design/APP_1, HTTP/1.1, 200, 0.172323
127.0.0.1, 2013-02-07 15:32:46, GET, /admin/default/errors/APP_1, HTTP/1.1, 200, 0.121141
127.0.0.1, 2013-02-07 15:33:57, GET, /, HTTP/1.1, 303, 0.001248
127.0.0.1, 2013-02-07 15:33:57, GET, /welcome/default/index, HTTP/1.1, 200, 0.182914
127.0.0.1, 2013-02-07 15:33:57, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000681
127.0.0.1, 2013-02-07 15:34:02, GET, /admin/default/index, HTTP/1.1, 200, 0.151849
